iter	Passed	Remaining
0	6	6805
1	13	6815
2	20	6801
3	26	6638
4	32	6525
5	38	6408
6	44	6358
7	51	6348
8	56	6255
9	62	6212
10	68	6177
11	74	6111
12	80	6094
13	85	6041
14	91	6026
15	97	6015
16	103	5999
17	110	6014
18	116	5993
19	122	5980
20	127	5963
21	133	5944
22	139	5933
23	145	5911
24	150	5881
25	156	5878
26	162	5853
27	167	5831
28	173	5821
29	179	5815
30	185	5805
31	191	5806
32	198	5820
33	205	5834
34	211	5839
35	218	5848
36	225	5866
37	232	5880
38	238	5875
39	245	5885
40	251	5891
41	258	5890
42	264	5878
43	269	5865
44	276	5864
45	282	5864
46	288	5850
47	294	5842
48	300	5829
49	306	5820
50	312	5820
51	318	5806
52	324	5798
53	330	5794
54	336	5786
55	342	5772
56	348	5766
57	354	5759
58	360	5756
59	366	5746
60	372	5731
61	378	5725
62	384	5715
63	390	5710
64	397	5711
65	403	5710
66	410	5716
67	417	5727
68	424	5724
69	430	5719
70	436	5715
71	443	5711
72	449	5706
73	455	5702
74	462	5701
75	469	5704
76	475	5703
77	482	5701
78	488	5693
79	495	5696
80	501	5694
81	507	5686
82	514	5681
83	521	5682
84	527	5674
85	533	5665
86	539	5657
87	545	5657
88	552	5654
89	558	5645
90	565	5644
91	570	5632
92	577	5636
93	584	5633
94	590	5624
95	596	5617
96	602	5613
97	609	5610
98	616	5612
99	624	5621
100	631	5616
101	637	5611
102	644	5610
103	650	5605
104	657	5603
105	663	5599
106	671	5603
107	678	5604
108	685	5600
109	691	5597
110	698	5591
111	704	5588
112	712	5591
113	718	5586
114	725	5581
115	732	5585
116	740	5591
117	747	5589
118	755	5593
119	763	5596
120	769	5591
121	777	5591
122	784	5590
123	791	5591
124	798	5592
125	805	5588
126	813	5588
127	821	5594
128	828	5591
129	834	5585
130	842	5586
131	849	5588
132	857	5587
133	864	5587
134	871	5586
135	878	5584
136	886	5584
137	894	5587
138	901	5585
139	909	5588
140	918	5593
141	925	5591
142	932	5588
143	940	5589
144	948	5590
145	955	5588
146	962	5584
147	969	5583
148	976	5579
149	984	5576
150	991	5577
151	998	5570
152	1005	5567
153	1014	5572
154	1022	5572
155	1029	5568
156	1036	5564
157	1043	5559
158	1048	5548
159	1056	5544
160	1063	5539
161	1070	5535
162	1077	5530
163	1085	5534
164	1093	5532
165	1100	5530
166	1107	5524
167	1114	5520
168	1121	5513
169	1129	5516
170	1137	5516
171	1146	5517
172	1153	5515
173	1161	5512
174	1169	5511
175	1176	5507
176	1183	5504
177	1191	5500
178	1199	5502
179	1207	5502
180	1215	5498
181	1222	5496
182	1230	5491
183	1236	5483
184	1243	5479
185	1250	5472
186	1257	5466
187	1263	5459
188	1270	5453
189	1277	5446
190	1283	5437
191	1290	5429
192	1296	5419
193	1302	5411
194	1308	5401
195	1314	5392
196	1320	5381
